x1,x2,x3,x4,x5,y
-0.811082,-0.929593,2.191525,1.928587,-0.178190,2.097985
-0.470725,0.868484,-2.165204,2.745169,-0.087680,2.628607
1.961126,-0.163785,0.669576,0.669361,-0.401267,1.129478
0.036206,3.057579,-0.347535,1.321726,-1.101796,0.085543
1.486433,-2.552181,-0.359074,1.342004,0.136434,3.161058
-0.253153,-0.550565,-2.690478,3.096404,-0.432591,0.353123
-1.787597,2.359581,1.902248,-0.995644,0.616807,1.220963
1.540661,-1.356846,2.469622,-2.118335,2.501462,11.402110
-2.317520,1.808256,-3.072373,0.120431,3.110236,-0.660743
-1.893855,-0.736495,-2.019390,0.208915,-2.646834,0.633027
0.796865,3.015794,2.537805,-2.023736,-0.724555,3.791840
1.553642,2.409789,0.310978,0.710687,-2.006182,4.126344
2.479897,-1.248341,-2.198866,-3.052844,-0.929154,8.347926
-1.428881,1.697673,-1.867423,2.687120,-1.335346,4.694094
-2.445892,-1.025061,1.005223,-1.479223,-2.044944,4.407765
2.865426,0.668297,1.412566,-2.893029,1.659239,3.068998
-2.171324,0.995764,0.624717,-2.461441,-0.023319,4.091896
-1.899614,2.070909,2.847215,-1.632064,2.634198,-1.775699
-1.311116,-2.987963,-0.037299,-1.420589,-2.936808,-0.802554
0.184671,-1.758300,-1.254929,-2.935441,-2.720757,6.985932
2.405364,1.331519,-0.143050,-1.386355,-0.607750,7.278341
1.637059,0.399128,-0.881743,-1.929304,-2.637195,2.115272
1.307892,-0.027614,-1.731546,-0.762647,-1.490814,1.839039
-2.040901,-2.794698,-2.852797,-0.721512,3.053815,-5.987356
-0.894206,-0.953311,-0.928576,-1.011544,-1.828661,3.815737
-0.135686,2.293992,1.328324,-1.081186,-1.896782,3.756909
-2.215288,-2.947487,-3.025745,-2.577794,0.462698,-7.239290
-1.423583,-0.650710,-0.382153,-2.983225,-0.012577,1.577253
-1.204278,2.796949,0.904838,-1.871671,0.505409,-0.197110
-2.341893,-2.821900,0.693689,1.612576,-0.774495,-0.042371
0.315665,1.568948,1.738233,3.083849,2.053108,7.593840
1.288230,-1.522965,1.951053,2.692509,-2.270865,9.335903
-2.702199,2.303471,1.330187,0.026511,-0.449922,3.309809
-0.118607,1.546091,-2.495696,0.199955,1.192309,6.418351
1.773185,2.423457,-0.156939,-1.165018,2.313698,4.010229
1.558168,-1.784897,0.649719,1.721212,-0.819506,7.701737
1.979663,0.196618,-1.598656,1.663515,0.425658,1.784036
-0.325214,1.754705,-2.874232,2.163127,-2.707174,4.265803
2.014120,-1.597816,-1.736733,2.485029,-2.071446,8.720047
-1.628896,-1.691771,-0.283407,-0.412496,-2.707185,5.899098
-0.874553,-2.970802,-0.540792,1.676829,1.431818,-0.571611
-2.033518,2.880937,-2.031561,1.925160,-1.331658,-1.954206
-0.204301,1.319575,2.038363,-1.203484,1.405833,6.014305
-0.678207,0.851751,2.674668,2.697009,-2.724400,0.124840
-1.627803,1.533064,-1.876484,-2.548828,2.277955,4.753798
1.581985,0.198630,2.699086,3.105585,2.108198,6.579388
-1.169635,-0.149956,-3.029369,1.697030,-2.582837,-8.517623
-1.427512,-0.317098,2.670118,-2.555554,-2.992326,-5.340102
-2.319184,0.882406,2.839552,0.981620,-2.787920,-1.322045
-0.384395,-1.875311,-3.065869,-2.926837,2.221924,2.682550
-1.238010,2.438245,1.652599,1.697635,-1.666907,1.278128
-0.821383,1.958798,2.954364,1.880073,0.303310,-0.311314
-1.658778,-0.945220,2.550359,0.643463,-0.463421,-0.610603
1.653455,0.493917,2.957559,2.242220,1.856842,10.194987
2.701791,-2.255492,0.316192,-2.526574,-0.069754,4.626347
-0.012995,2.967839,-2.650523,-1.407912,0.004152,0.132088
0.898486,2.531449,2.197790,-0.539239,3.073055,4.905997
2.307011,2.650860,0.715204,-2.874821,-2.198301,2.315085
3.134239,-1.054551,0.720912,-0.325368,2.077874,5.301937
0.713245,-2.078888,-0.519911,-1.475207,-2.816439,6.002222
2.449057,-1.810989,0.451396,-0.673966,-0.140437,7.245001
2.567361,-2.576097,-2.176622,-0.470594,2.427413,3.772242
1.831244,-2.386915,1.506520,2.383914,1.038070,4.749101
-0.245475,-2.693573,-2.670245,-1.442990,1.163738,-0.164992
-2.631687,3.077649,1.443755,2.473961,-1.487121,-0.671582
-3.042283,-2.676275,2.192696,-0.465138,-0.511610,1.081034
-0.143253,-2.308806,-0.172984,-1.081916,-0.838296,3.688446
-0.035723,2.056201,0.061766,0.015784,0.134732,5.440494
-0.582059,0.504164,-1.179893,-0.516834,-0.237329,0.977245
0.428308,1.724214,2.949695,-1.524475,-1.087630,10.396020
0.327748,0.822544,1.464764,0.016835,-1.222201,4.229882
2.115002,2.401277,-0.823169,-2.187794,-1.565437,4.079672
-2.458880,0.870017,-2.043245,-0.930352,-0.847933,2.358989
-1.726760,0.139016,-1.761933,0.413372,-2.199483,-1.805491
1.841005,1.336746,-0.226683,-0.544072,2.338000,7.587463
2.185523,-0.330541,2.780739,2.035201,0.641635,6.438852
3.109072,-0.967210,1.471185,-1.528562,-2.300988,4.792565
2.343075,-0.203246,-1.789176,2.951662,1.218054,1.735566
2.449808,-2.075247,2.259189,1.788961,2.184453,7.664451
-1.166486,1.863415,-0.765289,2.937974,-1.649112,5.466624
-0.617878,-1.503542,2.209936,2.124575,-2.195341,5.007336
-1.457164,-2.176925,-1.622949,-2.248727,-3.087449,3.045316
0.667899,-1.593716,0.745567,0.166254,-2.844710,7.634798
2.757095,2.149290,2.680850,-2.073586,1.647774,7.219885
-0.976150,-1.066877,-1.521197,1.999481,3.061082,4.096004
0.358153,1.168986,1.212194,0.528806,-2.859601,6.355600
-1.279887,2.239388,3.061875,-1.486292,1.558676,-5.067677
-2.074708,-2.653109,-2.195356,2.699250,-2.690069,-1.368196
-1.915206,1.665197,-2.586145,-2.417857,0.578888,1.786086
-2.777511,-1.208474,1.094501,0.401259,1.608968,5.713379
2.822994,-1.780514,-1.006969,1.388839,-0.884645,7.042058
-0.610225,1.186903,-2.693950,-2.771836,-3.072888,2.426789
2.099343,2.574828,-0.155159,0.614848,0.598092,2.881462
1.139327,-1.287932,1.594488,1.984866,3.086581,7.950184
-1.935716,0.432496,-1.350116,-2.717306,-1.522935,-0.014802
-2.039131,-1.320511,-1.036431,0.076925,-1.950984,5.575297
1.960280,0.341086,2.172093,-1.517030,-2.362943,3.767621
-1.478360,0.765682,0.126116,1.023685,0.347181,2.366265
