velocity,dynamic_q,mach,aoa,span,aspect_ratio,cl
142.38,12397.4,0.4119,11.56,1.698,4.064,1.3248
145.26,12856.2,0.4258,2.79,2.452,4.761,0.4017
56.8,2029.9,0.1648,8.0,2.794,4.314,1.0405
106.19,6902.4,0.3111,8.67,2.774,4.629,1.0849
143.88,12729.0,0.4171,-0.38,2.56,4.376,0.0474
125.47,9578.7,0.3661,19.24,2.284,4.138,2.1973
178.47,19485.9,0.5197,14.38,1.168,4.407,1.5313
148.8,13562.6,0.4385,18.49,1.323,4.862,2.0267
74.44,3395.9,0.218,17.37,2.797,4.756,2.014
60.59,2230.2,0.178,9.95,2.213,4.729,1.1295
146.36,13145.9,0.4251,18.05,1.018,4.534,1.8726
53.98,1741.8,0.1554,-2.79,1.203,4.761,-0.3911
137.87,11636.2,0.4002,-0.1,2.327,4.222,0.0228
191.03,22357.5,0.5585,-3.87,1.01,4.301,-0.5063
136.32,11402.9,0.3958,3.13,1.322,4.795,0.3357
108.23,7202.5,0.3167,4.72,2.097,4.003,0.5919
146.49,13099.4,0.4354,1.78,2.384,4.095,0.3109
118.74,8574.1,0.3497,15.72,2.304,4.186,1.7835
131.84,10697.9,0.3831,3.92,1.449,4.06,0.4151
191.22,22409.3,0.5623,2.02,2.424,4.242,0.3492
107.92,7103.1,0.313,8.57,1.474,4.585,0.8907
194.18,23156.6,0.558,-1.48,1.651,4.561,-0.0886
185.8,21149.7,0.5377,15.05,2.493,4.734,1.8064
79.37,3905.5,0.2239,-3.14,2.299,4.833,-0.2818
60.4,2237.5,0.1747,19.67,2.698,4.356,2.2659
65.12,2679.5,0.1899,14.31,2.315,4.304,1.6379
52.73,1773.5,0.1604,-0.03,2.137,4.458,-0.0171
64.17,2511.9,0.1884,-4.86,1.187,4.482,-0.6112
152.45,14274.2,0.4436,15.39,1.735,4.345,1.6995
60.68,2281.0,0.1802,12.67,1.53,4.613,1.3325
97.85,5918.8,0.2764,13.23,1.488,4.467,1.421
176.73,19092.2,0.5162,14.28,2.946,4.565,1.7953
53.49,1780.0,0.159,-3.15,1.786,4.645,-0.3336
172.17,18198.4,0.496,3.96,2.784,4.285,0.5831
92.28,5145.3,0.2736,-2.1,2.262,4.816,-0.148
67.72,2762.0,0.1988,16.58,2.59,4.661,1.9508
154.51,14541.0,0.4488,10.58,2.005,4.168,1.246
144.34,12750.3,0.4234,3.27,2.154,4.744,0.4365
181.62,20232.7,0.5386,-3.41,1.985,4.585,-0.3194
160.26,15791.2,0.468,2.77,1.39,4.929,0.3127
170.52,17813.1,0.4981,3.13,2.445,4.694,0.4746
92.31,5283.8,0.2673,13.24,1.562,4.374,1.4586
76.62,3540.2,0.22,10.94,1.049,4.156,1.132
162.59,16124.1,0.4774,17.18,2.291,4.271,2.0102
171.03,17913.2,0.4952,6.81,1.354,4.584,0.7238
198.58,24167.7,0.5792,-2.01,2.881,4.623,-0.0024
111.89,7667.2,0.3243,12.83,2.908,4.185,1.5657
105.8,6773.8,0.3104,14.02,2.83,4.335,1.7312
166.46,16968.6,0.4866,9.03,1.74,4.912,1.0087
101.12,6210.9,0.299,14.27,1.031,4.838,1.5329
189.61,22048.2,0.5508,7.34,2.857,4.49,0.989
178.76,19587.6,0.5201,8.07,1.856,4.26,0.9228
114.35,7971.3,0.3295,5.69,2.933,4.345,0.7695
162.63,16179.3,0.4724,-4.36,2.927,4.167,-0.3103
163.18,16267.4,0.4773,-2.3,2.706,4.992,-0.0919
65.47,2622.8,0.1939,-4.21,1.589,4.18,-0.4722
185.38,21087.9,0.5368,10.91,1.77,4.497,1.2287
125.79,9651.9,0.3702,2.86,2.702,4.209,0.4475
173.97,18557.5,0.5126,7.71,1.634,4.485,0.9252
98.01,5862.1,0.2874,17.69,1.339,4.618,1.9429
184.33,20779.2,0.5449,1.23,2.114,4.907,0.2334
108.38,7190.3,0.3129,5.26,2.872,4.224,0.7258
51.63,1591.0,0.1455,13.89,2.392,4.127,1.5938
185.81,21124.0,0.5346,0.72,2.14,4.208,0.1854
63.69,2436.9,0.1917,-3.08,1.194,4.915,-0.434
97.9,5948.7,0.288,2.24,2.23,5.001,0.3064
192.51,22700.6,0.561,-0.97,2.98,4.535,0.0466
192.59,22690.4,0.5626,18.24,1.28,4.541,2.0011
136.02,11340.0,0.392,15.2,2.037,4.716,1.7422
144.78,12833.5,0.4319,10.84,2.755,4.295,1.3246
117.27,8414.0,0.3424,16.79,2.482,4.979,1.9849
93.98,5434.5,0.2744,15.09,2.394,4.482,1.7092
99.3,6069.8,0.2924,-0.34,2.405,4.378,0.0149
150.88,13921.8,0.4418,17.31,1.719,4.562,1.9309
162.86,16221.8,0.4757,8.48,1.587,4.226,0.9721
168.74,17428.2,0.4888,15.19,2.619,4.299,1.8492
168.44,17286.4,0.493,17.4,2.62,4.731,2.0387
63.68,2423.2,0.1932,2.95,2.734,4.252,0.464
124.16,9497.3,0.3674,-2.25,2.826,4.676,-0.0987
58.63,2171.5,0.1773,0.7,2.023,4.407,0.0984
132.43,10731.8,0.384,5.68,2.003,4.463,0.6981
116.23,8297.5,0.3349,15.45,2.597,4.318,1.8287
183.16,20559.4,0.5335,16.52,2.3,4.396,1.8813
102.64,6575.5,0.2995,-4.83,2.404,4.772,-0.4028
67.56,2840.5,0.2013,7.77,2.592,4.272,0.9844
71.45,3121.6,0.2015,5.44,2.78,4.583,0.7026
164.23,16481.1,0.4849,0.55,1.676,4.449,0.0973
142.73,12414.0,0.4155,-2.0,1.751,4.633,-0.1801
65.17,2609.4,0.1883,3.44,1.188,4.952,0.3124
62.62,2371.2,0.1785,18.57,2.157,4.701,2.0668
155.15,14686.0,0.4457,3.08,1.072,4.276,0.2717
60.91,2246.9,0.1809,7.97,1.931,4.016,0.8895
173.28,18347.4,0.5055,12.58,2.085,4.37,1.4879
155.94,14961.1,0.4495,4.09,1.573,4.628,0.4733
62.2,2405.1,0.1762,19.29,2.182,4.314,2.1533
62.73,2409.6,0.1815,19.06,1.061,4.472,2.022
198.0,24070.7,0.5839,1.29,1.075,4.595,0.0389
106.14,6903.4,0.3084,7.43,2.645,4.387,0.9635
105.6,6795.3,0.3018,2.52,1.72,4.843,0.2418
171.92,18164.3,0.5002,2.12,1.254,4.178,0.2028
192.09,22621.3,0.5589,-4.08,2.044,4.182,-0.393
197.9,23946.7,0.5662,10.24,2.54,4.731,1.2344
163.01,16267.2,0.475,7.57,1.432,4.511,0.8558
106.44,6904.1,0.3094,-3.71,2.246,4.615,-0.3468
62.53,2339.2,0.1851,1.97,1.171,4.463,0.1498
