x1,x2,x3,y
0.8767,0.5243,0.2265,3.514
0.9092,0.039,0.2424,2.9946
0.1975,0.793,0.5221,2.1457
0.4415,0.052,0.2292,1.6803
0.7192,0.8269,0.0303,3.6278
0.8453,0.0088,0.3684,3.0004
0.1683,0.6741,0.7499,1.7327
0.665,0.1657,0.2771,2.2817
0.8078,0.3429,0.8627,3.7958
0.5497,0.9528,0.7025,3.9585
0.1647,0.4862,0.6533,1.012
0.0355,0.6574,0.8925,1.0865
0.2815,0.7407,0.0738,2.0137
0.8079,0.1099,0.1788,2.8929
0.0448,0.8388,0.9093,1.5689
0.0082,0.9139,0.907,1.7091
0.3616,0.1554,0.0783,1.0388
0.0636,0.5462,0.7742,0.6372
0.1495,0.2835,0.0154,0.399
0.0232,0.7406,0.1352,1.227
0.5247,0.0283,0.1098,1.521
0.6967,0.5125,0.294,3.0579
0.4271,0.7928,0.3883,2.9577
0.1346,0.7347,0.9109,1.633
0.3314,0.1082,0.4364,1.4334
0.5903,0.8329,0.1238,3.2956
0.9407,0.2378,0.2723,3.4544
0.9926,0.8078,0.0064,4.2651
0.2416,0.4971,0.028,1.3443
0.0106,0.1608,0.4311,-0.0229
0.8306,0.734,0.5122,4.2824
0.9266,0.8079,0.25,4.3776
0.4586,0.6989,0.3799,2.5984
0.7714,0.9648,0.1034,4.3716
0.8662,0.2561,0.6588,3.6065
0.6096,0.2358,0.3926,2.2901
0.8726,0.1472,0.1615,2.96
0.0239,0.5394,0.4974,0.7678
0.2716,0.3994,0.2084,1.0526
0.2772,0.3567,0.2921,1.2746
0.1206,0.4603,0.1242,0.8886
0.9107,0.2745,0.7807,3.8592
0.0304,0.0043,0.2793,0.1504
0.6726,0.4718,0.9557,3.268
0.0713,0.2759,0.4054,0.5823
0.3608,0.4498,0.1552,1.5424
0.4181,0.9289,0.7052,3.4128
0.1814,0.179,0.7336,0.9516
0.521,0.6375,0.8813,3.0475
0.535,0.6444,0.1315,2.6129
0.317,0.2813,0.7899,1.3593
0.7371,0.4709,0.8598,3.5369
0.1602,0.9696,0.3045,2.267
0.1925,0.3425,0.4545,0.9183
0.3545,0.7123,0.6196,2.5316
0.3784,0.8402,0.2455,2.7132
0.2063,0.3607,0.8714,1.2548
0.9187,0.9899,0.6992,5.5564
0.8281,0.6259,0.8567,4.2258
0.1069,0.501,0.4499,0.8389
0.3695,0.7149,0.519,2.487
0.2327,0.4238,0.1943,1.1678
0.4511,0.7123,0.314,2.5787
0.2763,0.2748,0.7295,1.3571
0.5018,0.9272,0.959,3.9285
0.9226,0.542,0.1521,3.5632
0.3825,0.2416,0.0506,1.45
0.6501,0.4372,0.0675,2.3281
0.5956,0.8951,0.4355,3.8002
